"ID","Alias","DocumentTitle","Severity","InitialReleaseDate","CurrentReleaseDate","CvrfUrl"
"2018-Nov","2018-Nov","November 2018 Security Updates",,"2018-11-13T08:00:00Z","2019-01-15T08:00:00Z","https://api.msrc.microsoft.com/cvrf/2018-Nov?api-Version=2016-08-01"
"2018-Oct","2018-Oct","October 2018 Security Updates",,"2018-10-09T07:00:00Z","2018-11-01T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2018-Oct?api-Version=2016-08-01"
"2018-Sep","2018-Sep","September 2018 Security Updates",,"2018-09-11T07:00:00Z","2019-09-10T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2018-Sep?api-Version=2016-08-01"
"2019-Apr","2019-Apr","April 2019 Security Updates",,"2019-04-09T07:00:00Z","2019-12-10T08:00:00Z","https://api.msrc.microsoft.com/cvrf/2019-Apr?api-Version=2016-08-01"
"2019-Aug","2019-Aug","August 2019 Security Updates",,"2019-08-13T07:00:00Z","2020-03-10T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2019-Aug?api-Version=2016-08-01"
"2019-Dec","2019-Dec","December 2019 Security Updates",,"2019-12-10T08:00:00Z","2020-02-11T08:00:00Z","https://api.msrc.microsoft.com/cvrf/2019-Dec?api-Version=2016-08-01"
"2019-Feb","2019-Feb","February 2019 Security Updates",,"2019-02-12T08:00:00Z","2019-12-19T08:00:00Z","https://api.msrc.microsoft.com/cvrf/2019-Feb?api-Version=2016-08-01"
"2019-Jan","2019-Jan","January 2019 Security Updates",,"2019-01-08T08:00:00Z","2019-12-19T08:00:00Z","https://api.msrc.microsoft.com/cvrf/2019-Jan?api-Version=2016-08-01"
"2019-Jul","2019-Jul","July 2019 Security Updates",,"2019-07-09T07:00:00Z","2019-12-03T08:00:00Z","https://api.msrc.microsoft.com/cvrf/2019-Jul?api-Version=2016-08-01"
"2019-Jun","2019-Jun","June 2019 Security Updates",,"2019-06-11T07:00:00Z","2019-08-13T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2019-Jun?api-Version=2016-08-01"
"2019-Mar","2019-Mar","March 2019 Security Updates",,"2019-03-12T07:00:00Z","2019-09-10T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2019-Mar?api-Version=2016-08-01"
"2019-May","2019-May","May 2019 Security Updates",,"2019-05-14T07:00:00Z","2019-10-08T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2019-May?api-Version=2016-08-01"
"2019-Nov","2019-Nov","November 2019 Security Updates",,"2019-11-12T08:00:00Z","2020-02-03T08:00:00Z","https://api.msrc.microsoft.com/cvrf/2019-Nov?api-Version=2016-08-01"
"2019-Oct","2019-Oct","October 2019 Security Updates",,"2019-10-08T07:00:00Z","2020-01-31T08:00:00Z","https://api.msrc.microsoft.com/cvrf/2019-Oct?api-Version=2016-08-01"
"2019-Sep","2019-Sep","September 2019 Security Updates",,"2019-09-10T07:00:00Z","2020-01-14T08:00:00Z","https://api.msrc.microsoft.com/cvrf/2019-Sep?api-Version=2016-08-01"
"2020-Feb","2020-Feb","February 2020 Security Updates",,"2020-02-11T08:00:00Z","2020-02-20T08:00:00Z","https://api.msrc.microsoft.com/cvrf/2020-Feb?api-Version=2016-08-01"
"2020-Jan","2020-Jan","January 2020 Security Updates",,"2020-01-14T08:00:00Z","2020-03-23T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2020-Jan?api-Version=2016-08-01"
"2020-Mar","2020-Mar","March 2020 Security Updates",,"2020-03-10T07:00:00Z","2020-03-23T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2020-Mar?api-Version=2016-08-01"
